id,mssubclass,lotshape,landcontour,landslope,bldgtype,housestyle,overallqual,overallcond,lotfrontage,lotarea,garagearea,grlivarea,totalbsmtsf,saleprice,lotfrontage_std,lotarea_std,garagearea_std,grlivarea_std,totalbsmtsf_std,saleprice_std
1211,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,5,70,11218,462,1845,1055,189000,67.1154756277299,0.07024880338899957,-0.05135588563692823,0.627114373372272,-0.005537776542347051,0.10169372585728753
8,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,6,NA,10382,484,2090,1107,200000,NA,-0.013508115765407678,0.0515416907250039,1.0933544229131622,0.11299281130513172,0.24015864829579742
13,1-STORY 1946 & NEWER ALL STYLES,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,NA,12968,352,912,912,144000,NA,0.24557728248016306,-0.5658437674465888,-1.148403856103853,-0.3314968931229137,-0.4647536841184347
15,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,5,NA,10920,352,1253,1253,157000,NA,0.04039286809233287,-0.5658437674465888,-0.49947382796734857,0.4457902310307452,-0.30111332123655943
1,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,65,8450,548,1710,856,208500,62.11547562772989,-0.2070707566820522,0.3508800946869883,0.3702065909721896,-0.4591452184971216,0.34715427018010053
2,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,8,80,9600,460,1262,1262,181500,77.1154756277299,-0.09185489899357331,-0.060710210760740235,-0.4823466424740097,0.4663051404658858,0.00728582419466716
3,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,68,11250,608,1786,920,223500,65.1154756277299,0.07345480986380942,0.6315098484013486,0.5148361573603841,-0.3132614180694554,0.5359700735053413
4,2-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,60,9550,642,1717,756,140000,57.11547562772989,-0.09686428411046369,0.7905333755061528,0.38352773524478645,-0.68708865666535,-0.5151045650051655
5,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,84,14260,836,2198,1145,250000,81.1154756277299,0.37501979390061063,1.697902912515918,1.298880648833228,0.19961131780905852,0.8695446593799333
6,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,5,5,85,14115,480,1362,796,143000,82.1154756277299,0.3604925770616285,0.03283304047737988,-0.29204458143691164,-0.5959112813980586,-0.47734140434011746
7,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,75,10084,636,1694,1686,307000,72.1154756277299,-0.043364051062074374,0.7624704001347168,0.3397582612062539,1.4327853182991743,1.5870447120158482
9,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,7,5,51,6120,468,1774,952,129900,48.11547562772989,-0.4405081031291441,-0.02329291026549219,0.49199991003593235,-0.2403195178556223,-0.642240539244161
10,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,One and one-half story: 2nd level unfinished,5,6,50,7420,205,1077,991,118000,47.11547562772989,-0.3102640900899941,-1.2533866640467717,-0.8344054553926411,-0.15142157697001324,-0.7920344098821853
11,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,5,70,11200,384,1040,1040,129500,67.1154756277299,0.06844542474691903,-0.41617456546559667,-0.9048172179763674,-0.03972929226758131,-0.6472756273328342
12,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,9,5,85,11924,736,2324,1175,345000,82.1154756277299,0.1409813212394918,1.2301866563253174,1.5386612457399718,0.26799434925952703,2.065378080439791
14,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,91,10652,840,1494,1494,279500,88.1154756277299,0.013542563865800404,1.7166115627635419,-0.04084586086794221,0.9951339170161757,1.2408824059195733
